"Count","Type","City","State"
"181","ALL","All","ND"
"100","ALL","All","HI"
"480","ALL","All","MN"
"170","ALL","All","MS"
"799","ALL","All","OH"
"618","ALL","All","MA"
"488","ALL","All","NC"
"300","ALL","All","OK"
"326","ALL","All","TN"
"581","ALL","All","WI"
"554","ALL","All","NJ"
"21","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","CT"
"57","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","FL"
"9","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","GA"
"5","CHILDREN'S MUSEUM","All","IA"
"83","HISTORY MUSEUM","All","IL"
"9","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","IN"
"34","HISTORY MUSEUM","All","KY"
"130","GENERAL MUSEUM","All","LA"
"330","HISTORIC PRESERVATION","All","NC"
"4","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","ND"
"6","CHILDREN'S MUSEUM","All","NE"
"238","HISTORIC PRESERVATION","All","NH"
"37","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","NJ"
"15","NATURAL HISTORY MUSEUM","All","NY"
"6","NATURAL HISTORY MUSEUM","All","OH"
"206","GENERAL MUSEUM","All","OK"
"154","HISTORIC PRESERVATION","All","SC"
"198","HISTORY MUSEUM","All","TX"
"39","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","TX"
"20","ART MUSEUM","All","UT"
"6","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","UT"
"40","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","WA"
"24","ART MUSEUM","All","WV"
"3","NATURAL HISTORY MUSEUM","All","WY"
"63","HISTORY MUSEUM","All","MI"
"5","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","MS"
"15","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","DC"
"14","HISTORY MUSEUM","All","AK"
"43","GENERAL MUSEUM","All","AK"
"40","HISTORY MUSEUM","All","AL"
"27","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","CO"
"12","NATURAL HISTORY MUSEUM","All","CO"
"73","HISTORY MUSEUM","All","FL"
"8","CHILDREN'S MUSEUM","All","GA"
"13","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","KS"
"20","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","KY"
"40","ART MUSEUM","All","LA"
"21","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","LA"
"272","HISTORIC PRESERVATION","All","MD"
"3","CHILDREN'S MUSEUM","All","ND"
"547","GENERAL MUSEUM","All","NY"
"214","HISTORIC PRESERVATION","All","OK"
"38","HISTORY MUSEUM","All","OK"
"35","HISTORY MUSEUM","All","OR"
"4","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","RI"
"11","CHILDREN'S MUSEUM","All","TN"
"61","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","TX"
"35","HISTORIC PRESERVATION","All","UT"
"88","ART MUSEUM","All","VA"
"15","HISTORY MUSEUM","All","VT"
"298","HISTORIC PRESERVATION","All","WA"
"14","CHILDREN'S MUSEUM","All","WI"
"28","ART MUSEUM","All","ME"
"5","CHILDREN'S MUSEUM","All","ME"
"16","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","ME"
"5","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","ME"
"10","NATURAL HISTORY MUSEUM","All","MI"
"69","ART MUSEUM","All","MO"
"10","HISTORY MUSEUM","All","DC"
"5","NATURAL HISTORY MUSEUM","All","VA"
"10","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","VT"
"5","CHILDREN'S MUSEUM","All","MO"
"7","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","ID"
"3","CHILDREN'S MUSEUM","All","AR"
"176","HISTORIC PRESERVATION","All","AZ"
"8","NATURAL HISTORY MUSEUM","All","CT"
"27","GENERAL MUSEUM","All","DE"
"22","CHILDREN'S MUSEUM","All","FL"
"149","GENERAL MUSEUM","All","IA"
"3","NATURAL HISTORY MUSEUM","All","ID"
"8","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","ID"
"54","ART MUSEUM","All","IN"
"275","HISTORIC PRESERVATION","All","KS"
"29","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","KY"
"16","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","LA"
"229","GENERAL MUSEUM","All","MA"
"55","HISTORY MUSEUM","All","MA"
"192","GENERAL MUSEUM","All","NC"
"9","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","NC"
"424","HISTORIC PRESERVATION","All","NJ"
"14","HISTORY MUSEUM","All","NV"
"38","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","NY"
"727","HISTORIC PRESERVATION","All","OH"
"19","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","OH"
"11","CHILDREN'S MUSEUM","All","OK"
"9","NATURAL HISTORY MUSEUM","All","PA"
"646","GENERAL MUSEUM","All","TX"
"168","ART MUSEUM","All","TX"
"17","NATURAL HISTORY MUSEUM","All","TX"
"10","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","VA"
"182","HISTORIC PRESERVATION","All","VT"
"18","CHILDREN'S MUSEUM","All","MI"
"42","HISTORY MUSEUM","All","MN"
"8","NATURAL HISTORY MUSEUM","All","MO"
"11","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","MO"
"19","HISTORY MUSEUM","All","MS"
"72","GENERAL MUSEUM","All","MS"
"11","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","MT"
"7","CHILDREN'S MUSEUM","All","MT"
"7","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","RI"
"1","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","VT"
"6","NATURAL HISTORY MUSEUM","All","NC"
"4","CHILDREN'S MUSEUM","All","NM"
"5","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","WV"
"114","GENERAL MUSEUM","All","AZ"
"191","GENERAL MUSEUM","All","CO"
"42","HISTORY MUSEUM","All","CO"
"12","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION","All","CO"
"291","HISTORIC PRESERVATION","All","CT"
"119","GENERAL MUSEUM","All","CT"
"421","HISTORIC PRESERVATION","All","FL"
"32","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","GA"
"48","HISTORIC PRESERVATION","All","HI"
"10","NATURAL HISTORY MUSEUM","All","KS"
"3","NATURAL HISTORY MUSEUM","All","NE"
"11","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","NE"
"17","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","NJ"
"64","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","NY"
"48","SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM","All","OH"
"113","HISTORY MUSEUM","All","PA"
"37","ART MUSEUM","All","SC"
"10","NATURAL HISTORY MUSEUM","All","UT"
"476","HISTORIC PRESERVATION","All","WI"
"74","ART MUSEUM","All","MN"
"105","HISTORIC PRESERVATION","All","MT"
"7","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","MT"
"3","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER","All","ND"
"4","CHILDREN'S MUSEUM","All","UT"
"15","All","FAIRBANKS","AK"
"33","All","MOBILE","AL"
"10","All","SELMA","AL"
